"Alloys","Phase","Tg","Tx","Tl","Rc_mm/s","Dmax_mm"
"Al15.4Co15.4Cr15.4Cu7.7Fe15.4Ni30.8","CMA",813,878,1296,"NAN","NAN"
"Al16.7Co16.7Cr16.7Cu8.3Fe25.0Ni16.7","CMA",807,853,1269,"NAN","NAN"
"Al14.29Co14.29Cr14.29Cu14.29Fe14.29Ni14.29Ti14.29","CMA",776,916,1262,"NAN","NAN"
"Al16.67Co20.83Cr20.83Cu20.83Fe20.83","CMA",830,797,1250,"NAN","NAN"
"Al16.4Co16.4Cr16.4Fe16.4Ni34.4","CMA",811,891,1318,"NAN","NAN"
"Al16.7Co25.0Cr16.7Fe16.7Ni16.7Ti8.3","CMA",792,824,1248,"NAN","NAN"
"Al16.67Co16.67Cr16.67Fe16.67Ni16.67Ti16.67","CMA",779,820,1263,"NAN","NAN"
"Al16.67Cr16.67Cu16.67Fe16.67Fe16.67Ti16.67","CMA",777,834,1287,"NAN","NAN"
"Al16.7Co25.0Cr16.7Cu8.3Fe16.7Ni16.7","CMA",807,854,1269,"NAN","NAN"
"Al20Co16Cr16Fe16Mn16Ni16","CMA",796,835,1259,"NAN","NAN"
"Al20Ti10V10Cr10Mn10Fe10Co10Ni10Cu10","CMA",788,850,1294,"NAN","NAN"
"Al18.4Cr20.4Cu20.4Fe20.4Ni20.4","CMA",792,827,1253,"NAN","NAN"
"Al16.67Co16.67Cr16.67Cu16.67Ni16.67Ni16.67","CMA",804,863,1288,"NAN","NAN"
"Al16.67Co16.67Cu16.67Fe16.67Ni16.67V16.67","CMA",785,833,1273,"NAN","NAN"
"Al16.67Co16.67Cr16.67Cu16.67Ni16.67Ti16.67","CMA",781,835,1282,"NAN","NAN"
"Al16.1Co16.1Cr16.1Cu16.1Fe16.1Ni16.1Mo3.2","CMA",800,843,1264,"NAN","NAN"
"Al23.5Cr23.5Fe23.5Mn23.5Ti5.9","CMA",787,841,1282,"NAN","NAN"
"Al15.38Co15.38Cr15.38Fe30.77Mo7.69Ni15.38","CMA",844,972,1381,"NAN","NAN"
"Al10Co20Cr20Fe20Mo10Ni20","CMA",903,1110,1475,"NAN","NAN"
"Al15Co25Fe25Ni25Ti10","CMA",778,820,1264,"NAN","NAN"
"Al10Co20Cr20Fe20Mo10Ni20","CMA",903,1110,1475,"NAN","NAN"
"Al17.95Co20.51Cr20.51Fe20.51Ni20.51","CMA",800,846,1270,"NAN","NAN"
"Al18Co20.5Cr20.5Fe20.5Ni20.5","CMA",800,846,1270,"NAN","NAN"
"Al18Cr21Fe20Co20Ni21","CMA",800,846,1270,"NAN","NAN"
"Al18.2Co18.2Cr18.2Fe18.2Ni18.2V9.1","CMA",797,841,1266,"NAN","NAN"
"Al16.1Co16.1Cr16.1Cu16.1Fe16.1Ni19.4","CMA",801,843,1263,"NAN","NAN"
"Al16.7Co16.7Cr16.7Cu8.3Fe16.7Ni25","CMA",808,857,1273,"NAN","NAN"
"Al18.4Co20.4Cr20.4Fe20.4Ni20.4","CMA",799,845,1270,"NAN","NAN"
"Al16.7Co33.3Cu16.7Fe16.7Ni16.7","CMA",791,879,1333,"NAN","NAN"
"Al16.67Co16.67Cr16.67Cu16.67Fe16.67Ni16.67","CMA",801,843,1263,"NAN","NAN"
